City Name,Temperature (F),Humidity %,Cloud Coverage %,Wind Speed (mph),City Latitude,City Longitude,City Country,City Local Date_Time,Random_Latitude,Random_Longitude
Rikitea,77.63,71,96,11.5,-23.1203,-134.9692,pf,"Sun, 07 Feb 2021 10:13:34",-45.98,-138.65
Puerto Ayora,84.2,70,0,17.27,-0.7393,-90.3518,ec,"Sun, 07 Feb 2021 13:13:34",-6.42,-102.73
Saskylakh,-37.95,78,25,12.33,71.9167,114.0833,ru,"Mon, 08 Feb 2021 03:59:22",72.34,114.57
Aksarka,-16.89,88,100,29.59,66.5606,67.7975,ru,"Mon, 08 Feb 2021 00:13:34",64.74,68.78
Barrow,-23.8,76,20,11.5,71.2906,-156.7887,us,"Sun, 07 Feb 2021 10:11:58",69.86,-161.43
Wuwei,29.12,73,79,4.65,37.9281,102.6414,cn,"Mon, 08 Feb 2021 03:13:35",37.73,103.61
Albany,28.99,73,100,4.23,42.6001,-73.9662,au,"Sun, 07 Feb 2021 14:11:15",-89.31,111.88
Touros,87.8,62,40,17.27,-5.1989,-35.4608,br,"Sun, 07 Feb 2021 16:05:10",-2.73,-30.08
Port Elizabeth,68.0,94,75,10.36,-33.918,25.5701,za,"Sun, 07 Feb 2021 21:09:34",-56.51,28.03
Mataura,53.46,80,98,1.95,-46.1927,168.8643,pf,"Mon, 08 Feb 2021 08:13:35",-79.98,-165.38
Bluff,55.56,80,98,5.64,-46.6,168.3333,nz,"Mon, 08 Feb 2021 08:13:35",-81.67,174.82
Srandakan,76.21,89,100,4.63,-7.9386,110.2506,id,"Mon, 08 Feb 2021 02:09:18",-17.36,106.97
Ponta do Sol,59.0,69,49,5.99,32.6667,-17.1,cv,"Sun, 07 Feb 2021 19:13:36",23.27,-28.7
Broome,33.01,93,90,10.36,42.2506,-75.833,au,"Sun, 07 Feb 2021 14:13:36",-18.31,121.2
Makakilo City,71.6,56,1,3.44,21.3469,-158.0858,us,"Sun, 07 Feb 2021 09:13:36",4.95,-165.92
Hamilton,24.01,42,1,6.91,39.1834,-84.5333,us,"Sun, 07 Feb 2021 14:07:01",46.37,-114.47
Oranjemund,64.08,78,0,23.15,-28.55,16.4333,na,"Sun, 07 Feb 2021 21:13:37",-29.09,14.24
East London,71.6,88,40,3.44,-33.0153,27.9116,za,"Sun, 07 Feb 2021 21:04:46",-50.39,38.03
Khatanga,-31.05,79,0,10.18,71.9667,102.5,ru,"Mon, 08 Feb 2021 02:13:22",74.1,96.63
Upernavik,18.46,79,7,3.33,72.7868,-56.1549,gl,"Sun, 07 Feb 2021 16:13:37",76.36,-55.59
Bida,87.46,13,5,1.86,9.0833,6.0167,ng,"Sun, 07 Feb 2021 20:13:37",9.4,6.22
Chokurdakh,-22.59,86,99,7.85,70.6333,147.9167,ru,"Mon, 08 Feb 2021 06:13:37",73.63,151.14
Kapaa,66.2,63,1,9.22,22.0752,-159.319,us,"Sun, 07 Feb 2021 09:13:37",38.89,-157.38
Kumul,31.55,79,2,4.97,42.8,93.45,cn,"Mon, 08 Feb 2021 03:09:29",42.47,91.52
Saint-Philippe,80.6,74,90,4.61,-21.3585,55.7679,re,"Sun, 07 Feb 2021 23:13:38",-33.31,60.59
Yellowknife,-43.6,66,1,5.75,62.456,-114.3525,ca,"Sun, 07 Feb 2021 12:13:39",76.6,-109.27
Port Macquarie,66.99,93,100,11.16,-31.4333,152.9167,au,"Mon, 08 Feb 2021 06:08:26",-36.36,161.4
Seydi,55.22,59,100,7.61,39.4816,62.9137,tm,"Mon, 08 Feb 2021 00:13:39",38.86,62.82
Wasilla,3.2,84,1,0.76,61.5814,-149.4394,us,"Sun, 07 Feb 2021 10:13:39",63.78,-151.51
Kodumudi,71.2,61,3,3.85,11.0775,77.8836,in,"Mon, 08 Feb 2021 00:43:39",11.09,77.94
Machalí,73.4,60,20,5.06,-34.1833,-70.6667,cl,"Sun, 07 Feb 2021 16:13:39",-34.18,-69.52
Ushuaia,62.6,45,40,9.22,-54.8,-68.3,ar,"Sun, 07 Feb 2021 16:09:23",-85.97,-49.25
Leningradskiy,-13.9,80,0,6.24,69.3833,178.4167,ru,"Mon, 08 Feb 2021 07:13:40",86.82,179.35
Hithadhoo,82.02,70,83,8.19,-0.6,73.0833,mv,"Mon, 08 Feb 2021 00:04:03",-13.93,85.06
Thompson,-31.0,68,90,18.41,55.7435,-97.8558,ca,"Sun, 07 Feb 2021 13:13:40",77.93,-95.3
Ilulissat,26.6,36,0,17.27,69.2167,-51.1,gl,"Sun, 07 Feb 2021 16:05:53",79.96,-45.34
Sitka,32.0,43,1,3.42,57.0531,-135.33,us,"Sun, 07 Feb 2021 10:03:49",49.62,-143.22
Inta,-14.24,89,100,10.16,66.0317,60.1659,ru,"Sun, 07 Feb 2021 22:13:41",67.64,59.03
Biloela,76.86,82,45,0.49,-24.4167,150.5,au,"Mon, 08 Feb 2021 05:13:41",-24.52,150.77
Svetlaya,1.29,84,100,11.86,46.5389,138.3297,ru,"Mon, 08 Feb 2021 05:13:41",45.46,137.8
Samdrup Jongkhar District,53.71,54,50,4.76,26.9167,91.6167,bt,"Mon, 08 Feb 2021 01:11:10",26.91,91.59
Pevek,-7.11,86,0,1.68,69.7008,170.3133,ru,"Mon, 08 Feb 2021 07:13:36",86.44,173.96
Davila,75.2,88,75,1.14,18.4726,120.5763,ph,"Mon, 08 Feb 2021 03:13:41",18.5,120.25
Rafaela,90.0,25,0,3.38,-31.2503,-61.4867,ar,"Sun, 07 Feb 2021 16:10:13",-31.94,-61.53
Cape Town,69.01,60,0,25.32,-33.9258,18.4232,za,"Sun, 07 Feb 2021 21:01:36",-59.99,-12.7
Vaini,78.8,89,75,12.66,-21.2,-175.2,to,"Mon, 08 Feb 2021 08:13:42",-62.73,-169.07
Provideniya,-3.93,79,100,16.67,64.3833,-173.3,ru,"Mon, 08 Feb 2021 07:04:00",58.43,-170.46
Bonthe,80.29,78,28,9.82,7.5264,-12.505,sl,"Sun, 07 Feb 2021 19:13:42",2.14,-16.45
Atuona,79.41,75,23,21.63,-9.8,-139.0333,pf,"Sun, 07 Feb 2021 09:43:17",5.12,-134.45
Talcahuano,64.4,72,90,8.05,-36.7167,-73.1167,cl,"Sun, 07 Feb 2021 16:13:43",-35.13,-75.39
Lata,55.0,99,100,13.0,40.1629,-8.3327,sb,"Sun, 07 Feb 2021 19:13:43",-6.38,165.62
Lüderitz,71.65,59,0,30.71,-26.6481,15.1594,na,"Sun, 07 Feb 2021 21:03:57",-34.91,-1.15
Taganak,80.6,89,20,5.75,6.0833,118.3,ph,"Mon, 08 Feb 2021 03:13:43",6.49,117.99
Airai,60.46,100,100,2.82,-8.9266,125.4092,pw,"Mon, 08 Feb 2021 04:13:43",15.51,145.38
Bredasdorp,68.0,60,3,5.75,-34.5322,20.0403,za,"Sun, 07 Feb 2021 21:13:43",-82.26,24.47
